2014–15,46,15,14,17,71,69,59,14th,R3
2015–16,46,13,16,17,43,47,55,16th,R4
2016–17,46,14,9,23,62,72,51,21st,R3
2017–18,46,15,8,23,51,65,53,17th,R4
2018–19,46,17,15,14,61,54,66,9th,R3
2019–20,46,18,16,12,58,50,70,7th,R3
2020–21,46,12,16,18,37,45,52,17th,R4
2021–22,46,23,11,12,73,40,80,4th[g],QF
2022–23,Prem,38,9,11,18,38,68,38,16th
2023–24,38,9,9,20,49,67,32[h],17th,R5
