2014–15,Prem (1),38,11,11,16,38,51,44,13th
2015–16,Prem (1),38,10,13,15,34,48,43,14th
2016–17,Prem (1),38,12,9,17,43,51,45,10th
2017–18,Prem (1) ↓,38,6,13,19,31,56,31,20th
2018–19,Chmp (2),46,23,11,12,87,62,80,4th[w]
2019–20,Chmp (2) ↑,46,22,17,7,77,45,83,2nd
2020–21,Prem (1) ↓,38,5,11,22,35,76,26,19th
2021–22,Chmp (2),46,18,13,15,52,45,67,10th
2022–23,Chmp (2),46,18,12,16,59,53,66,9th
2023–24,Chmp (2),46,21,12,13,70,47,75,5th[z]
